Symbol,AAPL,AMZN,GOOGL,JPM,MSFT,NKE,NVDA,TSLA
AAPL,1.0,0.4664424156689038,0.46041418051485133,0.30434655831913576,0.4896572467958206,0.35067835241891604,0.3734149383153982,0.43921861006409196
AMZN,0.4664424156689038,1.0,0.5611256653014852,0.3150825366555728,0.6075681103013879,0.30115737055585406,0.46447682546578745,0.41293209638986256
GOOGL,0.46041418051485133,0.5611256653014852,1.0,0.25072412818012446,0.4938233240833529,0.21789052841174492,0.4013731723686058,0.38512251121949953
JPM,0.30434655831913576,0.3150825366555728,0.25072412818012446,1.0,0.25129758975792865,0.22741453387915847,0.2643165471742106,0.3497858163193766
MSFT,0.4896572467958206,0.6075681103013879,0.4938233240833529,0.25129758975792865,1.0,0.1863851514043785,0.5443550913668554,0.3644168817410685
NKE,0.35067835241891604,0.30115737055585406,0.21789052841174492,0.22741453387915847,0.1863851514043785,1.0,0.12572746309566474,0.20614035022869975
NVDA,0.3734149383153982,0.46447682546578745,0.4013731723686058,0.2643165471742106,0.5443550913668554,0.12572746309566474,1.0,0.3779927280549811
TSLA,0.43921861006409196,0.41293209638986256,0.38512251121949953,0.3497858163193766,0.3644168817410685,0.20614035022869975,0.3779927280549811,1.0
